room_id,host_id,room_type,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,description,latitude,longitude,listed
12597142,19301351,Entire home/apt,København,24,5,3,1,85,1,Bright and charming near Vesterbro,55.647669,12.527068,10/04/2018
4919504,25338016,Entire home/apt,Aarhus,16,4.5,2,1,58,1,Hyggelig lejlighed i RÃ­sskov,56.202698,10.24777,10/04/2018
8109369,42819373,Private room,Brønderslev,17,4.5,2,1,46,1,Hyggeligt værelse m. bad på landet,57.31787,9.858041,10/04/2018
7796670,17779555,Entire home/apt,København,24,5,4,1,104,1,"Charming, cozy & VERY central apartment",55.686107,12.586959,10/04/2018
5443369,9833508,Private room,Aarhus,15,5,2,1,52,1,Spacious room with morning sun,56.144333,10.205789,10/04/2018
4794684,15795733,Private room,København,26,4.5,2,1,45,1,Cozy room in a great neighbourhood,55.66507,12.51936,10/04/2018
2510396,12851908,Entire home/apt,Aalborg,19,4.5,10,4,108,1,Nice big family house with a garden,57.035043,9.905771,10/04/2018
3019169,15384207,Entire home/apt,København,26,4.5,11,5,295,1,Unikt byhus med med masser af plads,55.708232,12.509052,10/04/2018
9847861,12673390,Entire home/apt,Esbjerg,19,5,4,1,108,1,Lyse lejligheder på Mandø fri WIFI,55.275208,8.536506,11/04/2018
7212078,8376848,Entire home/apt,Fanø,15,5,4,2,99,1,Modern living / Historical setting in Sønderho,55.350285,8.467273,11/04/2018
14344532,87875772,Entire home/apt,København,24,5,4,1,74,1,Cosy apartment close to the city centre,55.655476,12.53776,11/04/2018
2720514,11221988,Entire home/apt,København,33,5,3,1,156,1,Central location and spacious,55.670542,12.565377,11/04/2018
12695934,68992494,Entire home/apt,Lolland,14,4.5,6,2,61,1,Modern Sunny Cabin in a small Forrest,54.798479,11.007388,11/04/2018
4180562,21603715,Entire home/apt,Odsherred,16,5,6,3,70,1,Charming family friendly cottage  ,55.880536,11.556655,11/04/2018
7422854,38884499,Entire home/apt,Varde,17,4.5,8,3,62,1,Idyllisk 4-længet bondegård.,55.728777,8.228855,11/04/2018
2434285,12442344,Entire home/apt,København,26,4.5,2,2,52,1,Cosy flat at trendy Vesterbro,55.665443,12.54759,11/04/2018
